Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,3254.34,70b3d57ed00733ea,2,46,30,30,100.0,0,3,REWARD,60,6
1,3263.96,70b3d57ed007334e,1,49,31,30,98.42,1,3,REWARD,60,6
1,3278.87,70b3d57ed0073859,4,42,31,30,98.42,1,2,REWARD,60,6
1,3299.82,70b3d57ed0073864,5,51,30,30,100.0,0,3,REWARD,60,6
1,3305.44,70b3d57ed007386a,6,54,30,30,100.0,0,3,REWARD,60,6
1,3313.49,70b3d57ed007386c,7,59,30,30,100.0,0,3,REWARD,60,6
1,3314.34,70b3d57ed00733ea,2,48,30,30,100.0,0,3,REWARD,60,6
1,3323.97,70b3d57ed007334e,1,50,31,30,98.42,1,3,REWARD,60,6
1,3338.95,70b3d57ed0073859,4,43,31,30,98.42,1,2,REWARD,60,6
1,3359.82,70b3d57ed0073864,5,52,30,30,100.0,0,3,REWARD,60,6
1,3365.43,70b3d57ed007386a,6,55,30,30,100.0,0,3,REWARD,60,6
1,3373.51,70b3d57ed007386c,7,60,30,30,100.0,0,3,PUNISH,60,6
1,3374.33,70b3d57ed00733ea,2,49,31,30,98.42,1,3,REWARD,60,6
1,3383.97,70b3d57ed007334e,1,51,30,30,100.0,0,3,REWARD,60,6
1,3398.53,70b3d57ed0073859,4,44,31,30,98.42,1,2,REWARD,60,6
1,3419.82,70b3d57ed0073864,5,53,30,30,100.0,0,3,REWARD,60,6
1,3425.44,70b3d57ed007386a,6,56,30,30,100.0,0,3,REWARD,60,6
1,3433.5,70b3d57ed007386c,7,61,30,30,100.0,0,3,REWARD,60,6
1,3434.34,70b3d57ed00733ea,2,50,30,30,100.0,0,3,REWARD,60,6
1,3443.97,70b3d57ed007334e,1,52,30,30,100.0,0,3,REWARD,60,6
1,3458.21,70b3d57ed0073859,4,46,31,30,98.42,1,2,REWARD,60,6
1,3479.82,70b3d57ed0073864,5,54,30,30,100.0,0,3,REWARD,60,6
1,3485.44,70b3d57ed007386a,6,57,30,30,100.0,0,3,REWARD,60,6
1,3493.49,70b3d57ed007386c,7,62,31,30,98.42,1,3,REWARD,60,6
1,3494.33,70b3d57ed00733ea,2,51,31,30,98.42,1,3,REWARD,60,6
1,3503.97,70b3d57ed007334e,1,53,31,30,98.42,1,3,REWARD,60,6
1,3518.04,70b3d57ed0073859,4,47,31,30,98.42,1,2,REWARD,60,6
1,3539.8,70b3d57ed0073864,5,55,31,30,98.42,1,3,PUNISH,60,6
1,3545.44,70b3d57ed007386a,6,58,30,30,100.0,0,3,REWARD,60,6
1,3553.5,70b3d57ed007386c,7,63,30,30,100.0,0,3,REWARD,60,6
1,3554.35,70b3d57ed00733ea,2,52,30,30,100.0,0,3,REWARD,60,6
1,3564.06,70b3d57ed007334e,1,54,30,30,100.0,0,3,REWARD,60,6
1,3577.85,70b3d57ed0073859,4,48,31,30,98.42,1,2,REWARD,60,6
1,3599.84,70b3d57ed0073864,5,56,30,30,100.0,0,3,REWARD,60,6
1,3605.45,70b3d57ed007386a,6,59,30,30,100.0,0,3,REWARD,60,6
1,3613.51,70b3d57ed007386c,7,64,30,30,100.0,0,3,REWARD,60,6
1,3614.35,70b3d57ed00733ea,2,53,30,30,100.0,0,3,REWARD,60,6
1,3623.97,70b3d57ed007334e,1,55,30,30,100.0,0,3,REWARD,60,6
1,3637.69,70b3d57ed0073859,4,49,31,30,98.42,1,2,REWARD,60,6
1,3659.82,70b3d57ed0073864,5,57,30,30,100.0,0,3,REWARD,60,6
1,3665.45,70b3d57ed007386a,6,60,30,30,100.0,0,3,REWARD,60,6
1,3673.51,70b3d57ed007386c,7,65,30,30,100.0,0,3,REWARD,60,6
1,3674.35,70b3d57ed00733ea,2,54,30,30,100.0,0,3,REWARD,60,6
1,3683.98,70b3d57ed007334e,1,56,30,30,100.0,0,3,REWARD,60,6
1,3697.37,70b3d57ed0073859,4,51,31,30,98.42,1,2,REWARD,60,6
1,3719.83,70b3d57ed0073864,5,59,30,30,100.0,0,3,REWARD,60,6
1,3725.56,70b3d57ed007386a,6,61,30,30,100.0,0,3,REWARD,60,6
1,3733.65,70b3d57ed007386c,7,66,30,30,100.0,0,3,REWARD,60,6
1,3734.34,70b3d57ed00733ea,2,55,31,30,98.42,1,3,REWARD,60,6
1,3744.23,70b3d57ed007334e,1,57,30,30,100.0,0,3,REWARD,60,6
